Tue Jun 23 18:39:36 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:C5:00.0 Off |                    0 |
|  0%   42C    P0             19W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step: 100, Returns: nan, Epsilon: 0.9998
Step: 200, Returns: nan, Epsilon: 0.9995
Step: 300, Returns: nan, Epsilon: 0.9993
Step: 400, Returns: nan, Epsilon: 0.9990
Step: 500, Returns: nan, Epsilon: 0.9988
Step: 600, Returns: nan, Epsilon: 0.9985
Step: 700, Returns: nan, Epsilon: 0.9983
Step: 800, Returns: -21.000, Epsilon: 0.9980
Step: 900, Returns: -20.875, Epsilon: 0.9978
Step: 1000, Returns: -20.357, Epsilon: 0.9975
Step: 1100, Returns: -20.357, Epsilon: 0.9973
Step: 1200, Returns: -20.188, Epsilon: 0.9970
Step: 1300, Returns: -20.188, Epsilon: 0.9968
Step: 1400, Returns: -20.188, Epsilon: 0.9965
Step: 1500, Returns: -20.188, Epsilon: 0.9963
Updating target network...
Step: 1600, Returns: -20.235, Epsilon: 0.9960
Step: 1700, Returns: -20.278, Epsilon: 0.9958
Step: 1800, Returns: -20.300, Epsilon: 0.9955
Step: 1900, Returns: -20.320, Epsilon: 0.9953
Step: 2000, Returns: -20.241, Epsilon: 0.9951
Step: 2100, Returns: -20.226, Epsilon: 0.9948
Step: 2200, Returns: -20.188, Epsilon: 0.9946
Step: 2300, Returns: -20.188, Epsilon: 0.9943
Step: 2400, Returns: -20.188, Epsilon: 0.9941
Step: 2500, Returns: -20.188, Epsilon: 0.9938
Step: 2600, Returns: -20.188, Epsilon: 0.9936
Step: 2700, Returns: -20.206, Epsilon: 0.9933
Step: 2800, Returns: -20.211, Epsilon: 0.9931
Updating target network...
Step: 2900, Returns: -20.146, Epsilon: 0.9928
Step: 3000, Returns: -20.136, Epsilon: 0.9926
Step: 3100, Returns: -20.064, Epsilon: 0.9923
Step: 3200, Returns: -20.064, Epsilon: 0.9921
Step: 3300, Returns: -20.042, Epsilon: 0.9918
Step: 3400, Returns: -20.042, Epsilon: 0.9916
Step: 3500, Returns: -20.042, Epsilon: 0.9913
Step: 3600, Returns: -20.060, Epsilon: 0.9911
Step: 3700, Returns: -20.093, Epsilon: 0.9908
Step: 3800, Returns: -20.086, Epsilon: 0.9906
Step: 3900, Returns: -20.085, Epsilon: 0.9903
Step: 4000, Returns: -20.111, Epsilon: 0.9901
Updating target network...
Step: 4100, Returns: -20.125, Epsilon: 0.9899
Step: 4200, Returns: -20.125, Epsilon: 0.9896
Step: 4300, Returns: -20.125, Epsilon: 0.9894
Step: 4400, Returns: -20.125, Epsilon: 0.9891
Step: 4500, Returns: -20.162, Epsilon: 0.9889
Step: 4600, Returns: -20.157, Epsilon: 0.9886
Step: 4700, Returns: -20.189, Epsilon: 0.9884
Step: 4800, Returns: -20.195, Epsilon: 0.9881
Step: 4900, Returns: -20.190, Epsilon: 0.9879
Step: 5000, Returns: -20.188, Epsilon: 0.9876
Step: 5100, Returns: -20.188, Epsilon: 0.9874
Step: 5200, Returns: -20.188, Epsilon: 0.9871
Step: 5300, Returns: -20.198, Epsilon: 0.9869
Updating target network...
Step: 5400, Returns: -20.205, Epsilon: 0.9866
Step: 5500, Returns: -20.224, Epsilon: 0.9864
Step: 5600, Returns: -20.244, Epsilon: 0.9861
Step: 5700, Returns: -20.258, Epsilon: 0.9859
Step: 5800, Returns: -20.263, Epsilon: 0.9856
Step: 5900, Returns: -20.263, Epsilon: 0.9854
Step: 6000, Returns: -20.260, Epsilon: 0.9852
Step: 6100, Returns: -20.260, Epsilon: 0.9849
Step: 6200, Returns: -20.268, Epsilon: 0.9847
Step: 6300, Returns: -20.276, Epsilon: 0.9844
Step: 6400, Returns: -20.270, Epsilon: 0.9842
Step: 6500, Returns: -20.260, Epsilon: 0.9839
Updating target network...
Step: 6600, Returns: -20.240, Epsilon: 0.9837
Step: 6700, Returns: -20.220, Epsilon: 0.9834
Step: 6800, Returns: -20.200, Epsilon: 0.9832
Step: 6900, Returns: -20.220, Epsilon: 0.9829
Step: 7000, Returns: -20.220, Epsilon: 0.9827
Step: 7100, Returns: -20.220, Epsilon: 0.9824
Step: 7200, Returns: -20.220, Epsilon: 0.9822
Step: 7300, Returns: -20.220, Epsilon: 0.9819
Step: 7400, Returns: -20.220, Epsilon: 0.9817
Step: 7500, Returns: -20.220, Epsilon: 0.9814
Step: 7600, Returns: -20.220, Epsilon: 0.9812
Step: 7700, Returns: -20.210, Epsilon: 0.9809
Step: 7800, Returns: -20.200, Epsilon: 0.9807
Updating target network...
Step: 7900, Returns: -20.200, Epsilon: 0.9804
Step: 8000, Returns: -20.200, Epsilon: 0.9802
Step: 8100, Returns: -20.200, Epsilon: 0.9800
Step: 8200, Returns: -20.220, Epsilon: 0.9797
Step: 8300, Returns: -20.250, Epsilon: 0.9795
Step: 8400, Returns: -20.270, Epsilon: 0.9792
Step: 8500, Returns: -20.310, Epsilon: 0.9790
Step: 8600, Returns: -20.310, Epsilon: 0.9787
Step: 8700, Returns: -20.330, Epsilon: 0.9785
Step: 8800, Returns: -20.320, Epsilon: 0.9782
Step: 8900, Returns: -20.320, Epsilon: 0.9780
Step: 9000, Returns: -20.340, Epsilon: 0.9777
Updating target network...
Step: 9100, Returns: -20.380, Epsilon: 0.9775
Step: 9200, Returns: -20.350, Epsilon: 0.9772
Step: 9300, Returns: -20.360, Epsilon: 0.9770
Step: 9400, Returns: -20.370, Epsilon: 0.9767
Step: 9500, Returns: -20.390, Epsilon: 0.9765
Step: 9600, Returns: -20.380, Epsilon: 0.9762
Step: 9700, Returns: -20.370, Epsilon: 0.9760
Step: 9800, Returns: -20.380, Epsilon: 0.9757
Step: 9900, Returns: -20.390, Epsilon: 0.9755
Step: 10000, Returns: -20.380, Epsilon: 0.9753
Step: 10100, Returns: -20.390, Epsilon: 0.9750
Step: 10200, Returns: -20.370, Epsilon: 0.9748
Step: 10300, Returns: -20.370, Epsilon: 0.9745
Updating target network...
Step: 10400, Returns: -20.360, Epsilon: 0.9743
Step: 10500, Returns: -20.360, Epsilon: 0.9740
Step: 10600, Returns: -20.360, Epsilon: 0.9738
Step: 10700, Returns: -20.350, Epsilon: 0.9735
Step: 10800, Returns: -20.350, Epsilon: 0.9733
Step: 10900, Returns: -20.360, Epsilon: 0.9730
Step: 11000, Returns: -20.380, Epsilon: 0.9728
Step: 11100, Returns: -20.350, Epsilon: 0.9725
Step: 11200, Returns: -20.330, Epsilon: 0.9723
Step: 11300, Returns: -20.320, Epsilon: 0.9720
Step: 11400, Returns: -20.300, Epsilon: 0.9718
Step: 11500, Returns: -20.290, Epsilon: 0.9715
Updating target network...
Step: 11600, Returns: -20.300, Epsilon: 0.9713
