Wed Jun 24 23:06:30 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:CF:00.0 Off |                    0 |
|  0%   35C    P0             16W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step: 100, Returns: nan, Epsilon: 0.9998
Step: 200, Returns: nan, Epsilon: 0.9996
Step: 300, Returns: nan, Epsilon: 0.9994
Step: 400, Returns: nan, Epsilon: 0.9992
Step: 500, Returns: nan, Epsilon: 0.9990
Step: 600, Returns: nan, Epsilon: 0.9988
Step: 700, Returns: nan, Epsilon: 0.9986
Step: 800, Returns: -21.000, Epsilon: 0.9984
Step: 900, Returns: -21.000, Epsilon: 0.9982
Step: 1000, Returns: -20.571, Epsilon: 0.9980
Step: 1100, Returns: -20.438, Epsilon: 0.9978
Step: 1200, Returns: -20.438, Epsilon: 0.9976
Step: 1300, Returns: -20.438, Epsilon: 0.9974
Step: 1400, Returns: -20.438, Epsilon: 0.9972
Step: 1500, Returns: -20.438, Epsilon: 0.9970
Step: 1600, Returns: -20.438, Epsilon: 0.9968
Step: 1700, Returns: -20.500, Epsilon: 0.9966
Step: 1800, Returns: -20.591, Epsilon: 0.9964
Step: 1900, Returns: -20.538, Epsilon: 0.9962
Step: 2000, Returns: -20.452, Epsilon: 0.9960
Step: 2100, Returns: -20.452, Epsilon: 0.9958
Step: 2200, Returns: -20.406, Epsilon: 0.9956
Step: 2300, Returns: -20.406, Epsilon: 0.9954
Step: 2400, Returns: -20.406, Epsilon: 0.9952
Step: 2500, Returns: -20.406, Epsilon: 0.9951
Step: 2600, Returns: -20.444, Epsilon: 0.9949
Step: 2700, Returns: -20.459, Epsilon: 0.9947
Step: 2800, Returns: -20.477, Epsilon: 0.9945
Step: 2900, Returns: -20.478, Epsilon: 0.9943
Step: 3000, Returns: -20.468, Epsilon: 0.9941
Step: 3100, Returns: -20.468, Epsilon: 0.9939
Updating target network...
Step: 3200, Returns: -20.438, Epsilon: 0.9937
Step: 3300, Returns: -20.438, Epsilon: 0.9935
Step: 3400, Returns: -20.460, Epsilon: 0.9933
Step: 3500, Returns: -20.442, Epsilon: 0.9931
Step: 3600, Returns: -20.453, Epsilon: 0.9929
Step: 3700, Returns: -20.446, Epsilon: 0.9927
Step: 3800, Returns: -20.433, Epsilon: 0.9925
Step: 3900, Returns: -20.435, Epsilon: 0.9923
Step: 4000, Returns: -20.444, Epsilon: 0.9921
Step: 4100, Returns: -20.438, Epsilon: 0.9919
Step: 4200, Returns: -20.431, Epsilon: 0.9917
Step: 4300, Returns: -20.431, Epsilon: 0.9915
Step: 4400, Returns: -20.418, Epsilon: 0.9913
Step: 4500, Returns: -20.406, Epsilon: 0.9911
Step: 4600, Returns: -20.405, Epsilon: 0.9909
Step: 4700, Returns: -20.395, Epsilon: 0.9907
Step: 4800, Returns: -20.390, Epsilon: 0.9905
Step: 4900, Returns: -20.380, Epsilon: 0.9903
Step: 5000, Returns: -20.363, Epsilon: 0.9901
Step: 5100, Returns: -20.363, Epsilon: 0.9899
Step: 5200, Returns: -20.370, Epsilon: 0.9897
Step: 5300, Returns: -20.378, Epsilon: 0.9895
Step: 5400, Returns: -20.376, Epsilon: 0.9893
Step: 5500, Returns: -20.386, Epsilon: 0.9891
Step: 5600, Returns: -20.356, Epsilon: 0.9889
Updating target network...
Step: 5700, Returns: -20.355, Epsilon: 0.9887
Step: 5800, Returns: -20.355, Epsilon: 0.9885
Step: 5900, Returns: -20.368, Epsilon: 0.9883
Step: 6000, Returns: -20.354, Epsilon: 0.9881
Step: 6100, Returns: -20.361, Epsilon: 0.9879
Step: 6200, Returns: -20.364, Epsilon: 0.9877
Step: 6300, Returns: -20.370, Epsilon: 0.9875
Step: 6400, Returns: -20.350, Epsilon: 0.9873
Step: 6500, Returns: -20.320, Epsilon: 0.9871
Step: 6600, Returns: -20.330, Epsilon: 0.9869
Step: 6700, Returns: -20.330, Epsilon: 0.9867
Step: 6800, Returns: -20.300, Epsilon: 0.9865
Step: 6900, Returns: -20.290, Epsilon: 0.9863
Step: 7000, Returns: -20.290, Epsilon: 0.9861
Step: 7100, Returns: -20.300, Epsilon: 0.9859
Step: 7200, Returns: -20.310, Epsilon: 0.9857
Step: 7300, Returns: -20.320, Epsilon: 0.9855
Step: 7400, Returns: -20.300, Epsilon: 0.9853
Step: 7500, Returns: -20.280, Epsilon: 0.9852
Step: 7600, Returns: -20.290, Epsilon: 0.9850
Step: 7700, Returns: -20.290, Epsilon: 0.9848
Step: 7800, Returns: -20.290, Epsilon: 0.9846
Step: 7900, Returns: -20.290, Epsilon: 0.9844
Step: 8000, Returns: -20.280, Epsilon: 0.9842
Step: 8100, Returns: -20.320, Epsilon: 0.9840
Updating target network...
