Thu Apr  2 17:07:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L4                      Off |   00000000:81:00.0 Off |                    0 |
| N/A   32C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Evaluation returns: -1713.9580210852084
Evaluation returns: -1006.4056024268845
Evaluation returns: -949.2929910196841
Evaluation returns: -861.706373759537
Evaluation returns: -771.8447703888812
Evaluation returns: -673.0836813379638
Evaluation returns: -600.79231497751
Evaluation returns: -546.6682293038341
Evaluation returns: -504.87049536303886
Evaluation returns: -467.170709102826
Evaluation returns: -308.8101379640221
Evaluation returns: -290.9117082863987
Evaluation returns: -219.21657433145756
Evaluation returns: -170.02420895784473
Evaluation returns: -139.26759019839037
Evaluation returns: -133.5563171740683
Evaluation returns: -130.10695963127472
Evaluation returns: -127.5254349111248
Evaluation returns: -126.80664303719009
Evaluation returns: -128.18939823694922
Evaluation returns: -129.15039460509834
Evaluation returns: -132.89182519447058
Evaluation returns: -136.44134931399327
Evaluation returns: -143.22187041479776
Evaluation returns: -149.66440606998677
Evaluation returns: -154.12496364725934
Evaluation returns: -156.66016232632438
Evaluation returns: -158.11850754893135
Evaluation returns: -156.19989524566716
Evaluation returns: -156.74901037533954
Evaluation returns: -156.52868789303596
Evaluation returns: -155.71157138573238
Evaluation returns: -156.0340153867643
Evaluation returns: -152.20470367285623
Evaluation returns: -148.16875366350075
Evaluation returns: -145.26740403148312
Evaluation returns: -143.15454511278142
Evaluation returns: -140.67379997162274
Evaluation returns: -141.00998234828836
Evaluation returns: -138.21565198035555
Evaluation returns: -132.8722132049671
Evaluation returns: -121.61733776955876
Evaluation returns: -90.79299227460012
Evaluation returns: -67.97482429228566
Evaluation returns: -44.76882526196828
Evaluation returns: -35.241315806024886
Evaluation returns: -26.53378573843147
Evaluation returns: -15.306464587063948
Evaluation returns: 13.389380075638721
Evaluation returns: 23.381215708670243
Evaluation returns: 30.659616435245614
Evaluation returns: 34.563512088158646
Evaluation returns: 13.695550283546755
Evaluation returns: -5.045277253420604
Evaluation returns: -22.740124392837
Evaluation returns: -31.43662439074233
Evaluation returns: -32.33180887014494
Evaluation returns: -37.321496748381776
Evaluation returns: -57.91118382157904
Evaluation returns: -62.91720988009176
Evaluation returns: -67.52214051422902
Evaluation returns: -67.90865439289558
Evaluation returns: -62.4322868797409
Evaluation returns: -62.60746663325682
Evaluation returns: -62.74525477788865
Evaluation returns: -53.82706731845701
Evaluation returns: -55.6451484632568
Evaluation returns: -59.147380570100324
Evaluation returns: -64.36173393052299
Evaluation returns: -65.83144825694339
Evaluation returns: -68.75813335257526
Evaluation returns: -76.1458826671439
Evaluation returns: -84.48012573611074
Evaluation returns: -83.30303249253359
Evaluation returns: -88.3214532529046
Evaluation returns: -93.48049436297492
Evaluation returns: -92.20129165824476
Evaluation returns: -86.42355486518036
Evaluation returns: -75.65512890159553
